SSTID CF Level size Creation Deletion key_start key_end Create_Version Delete_Version
9 0 0 36726227 1681270746 1681270747 9438 29984373 5 23
11 0 0 36720169 1681270746 1681270747 8396 29998694 7 23
13 0 0 36708705 1681270746 1681270747 1617 29994624 9 23
15 0 0 36720088 1681270746 1681270747 4843 29996049 11 23
18 0 0 36720110 1681270746 1681270749 5227 29997978 13 44
20 0 0 36725864 1681270746 1681270749 9014 29987318 15 44
22 0 0 36720074 1681270747 1681270749 5730 29999718 17 44
25 0 0 36720009 1681270747 1681270749 11289 29980422 19 44
27 0 0 36720055 1681270747 1681270749 5397 29994941 21 44
17 0 1 67257891 1681270746 1681270749 1617 13772576 23 44
23 0 1 67258308 1681270747 1681270749 13772639 27481942 23 44
29 0 1 12324453 1681270747 1681270749 27482089 29998694 23 44
30 0 0 36725740 1681270747 1681270753 1081 29999865 24 67
33 0 0 36731516 1681270747 1681270753 1377 29997918 26 67
35 0 0 36732293 1681270747 1681270753 21593 29990134 28 67
38 0 0 36732164 1681270748 1681270753 2123 29993043 30 67
40 0 0 36720821 1681270748 1681270753 3628 29999659 32 67
43 0 0 36726492 1681270748 1681270753 4395 29997936 34 67
45 0 0 36732270 1681270748 1681270753 821 29996717 36 67
48 0 0 36732256 1681270748 1681270753 2755 29999837 38 67
50 0 0 36726414 1681270748 1681270753 319 29999369 40 67
53 0 0 36726455 1681270749 1681270753 116 29997851 42 67
31 0 1 67260032 1681270747 1681270753 1617 6152804 44 67
36 0 1 67260635 1681270748 1681270753 6153300 12302268 44 67
42 0 1 67259396 1681270748 1681270753 12302451 18436547 44 67
47 0 1 67262169 1681270748 1681270753 18437192 24485257 44 67
52 0 1 61137735 1681270749 1681270753 24486753 29999718 44 67
55 0 0 36726435 1681270749 1681270759 4497 29996316 45 88
58 0 0 36726454 1681270749 1681270759 9075 29994160 47 88
60 0 0 36726393 1681270749 1681270759 1043 29986149 49 88
63 0 0 36715044 1681270749 1681270759 3611 29997011 51 88
65 0 0 36726488 1681270750 1681270759 6813 29988387 53 88
68 0 0 36732325 1681270750 1681270759 1401 29987376 55 88
70 0 0 36732297 1681270750 1681270759 18627 29991061 57 88
73 0 0 36726445 1681270750 1681270759 4880 29996009 59 88
75 0 0 36726486 1681270750 1681270759 309 29995532 61 88
78 0 0 36726595 1681270751 1681270759 2099 29999711 63 88
80 0 0 36732230 1681270751 1681270759 4112 29995768 65 88
57 0 1 67263805 1681270749 1681270759 116 2890351 67 88
62 0 1 67264454 1681270749 1681270759 2890443 5813539 67 88
67 0 1 67266417 1681270750 1681270759 5813704 8708549 67 88
72 0 1 67264302 1681270750 1681270759 8708579 11625546 67 88
77 0 1 67264798 1681270751 1681270759 11625967 14501613 67 88
81 0 1 67266682 1681270751 1681270759 14501646 17370906 67 88
82 0 1 67266391 1681270751 1681270759 17370908 20281104 67 88
83 0 1 67265210 1681270752 1681270759 20281352 23169679 67 88
84 0 1 67265592 1681270752 1681270759 23170086 26047921 67 88
85 0 1 67265989 1681270752 1681270759 26048243 28968171 67 88
86 0 1 23669865 1681270753 1681270759 28968332 29999865 67 88
88 0 0 36726479 1681270753 1681270764 693 29996063 68 113
